	Pearson	Spearman	Kendall	Mutual_Info
dimuon-system invariant mass	0.17797799241047235	0.1496961126651701	0.12946438469744573	0.41836527249466204
Isolation: B mass if one extra track (best fit) is added	0.23461659314044775	0.4887060552814723	0.349094022583395	0.34310600484230225
Isolation: B mass if two extra tracks (best fits) are added	0.14770601845750506	0.31364716267044296	0.21401669489722416	0.1336451721298184
Kaon impact parameter chi2 wrt primary vertex	0.012545332196293573	0.008691012189222998	0.00868322936492408	0.11701148438406239
dimuon-system impact parameter chi2 wrt primary vertex	0.017917379597313186	0.07672457817223804	0.053293596287796625	0.08838201231056164
B cos(angle) between line-of-flight and momentum	-0.12047604822396368	0.05899399668406375	0.043751260376189184	0.08709740977290803
B decay vertex fit chi2	0.17565398235413573	0.06230611353786491	0.041210547236305885	0.07418606106728287
Kaon impact parameter wrt primary vertex	-0.02669446932449181	-0.006831277280558699	-0.0030554259092420554	0.06741652845727852
Isolation: B vertex delta chi2 adding two extra tracks (best fits)	-0.0037337848747033857	0.03745306092554673	0.02657178783258363	0.0673275562655018
Isolation: B vertex delta chi2 adding one extra track (best fit)	0.00030018624349154835	0.08845792018990607	0.05879492796136357	0.0668809040335443
B flight distance chi2 wrt primary vertex	0.02636414173848879	0.05012305640303499	0.03559732400407954	0.06618360946013002
B lifetime	-0.013789940470122723	0.011720749953629447	0.0105224135040401	0.06459363691848363
B decay vertex y position	-0.003605021188858417	-0.00024432780688075976	-0.0009095302091826014	0.06193879305671146
B impact parameter wrt primary vertex	-0.012224084912017947	-0.12050975976343595	-0.08121609135506706	0.0604908130293067
B decay vertex x position	0.006916160926756341	0.018083026930733624	0.011176889467842508	0.057777311352396055
dimuon-system impact parameter wrt primary vertex	0.012972952644567454	0.07834975745455322	0.054253612414211366	0.056925275310560686
dimuon-system flight distance chi2 wrt primary vertex	0.012241669089375719	0.025834929079356854	0.018803662810757356	0.0545191119548285
dimuon-system decay vertex y position	-0.004748231389123964	0.00010035771282506963	-0.0005185140546473995	0.053763945919344636
Kaon PID NN score for kaon hypothesis	-0.1034981218524282	-0.01635983964218735	-0.010406601908983203	0.04604341153487379
Opposite-sign muon impact parameter chi2 wrt primary vertex	0.0025290148782331568	0.027406124519212302	0.019661368889480692	0.044640660264180454
dimuon-system decay vertex x position	0.006841435443466928	0.019571968292994655	0.012183822229054559	0.04385666512825459
Opposite-sign muon impact parameter wrt primary vertex	-0.02134641639507834	0.015336385564007984	0.011437585359797988	0.04318079997564528
Isolation: Neutral cone eta difference between cone momentum and B	0.12371135997574648	0.062247793747465835	0.041325238722658246	0.040789751529780816
B flight distance wrt primary vertex	-0.024278818927386328	-0.0028973615450866123	-0.0010768078207671	0.039883061673181786
B impact parameter chi2 wrt primary vertex	-0.05262996125870686	-0.12571674274369324	-0.08385447551008866	0.03871068000536759
Same-sign muon impact parameter wrt primary vertex	-0.019610327738883156	0.006053077458766844	0.0048251831455883975	0.038705836325482856
Same-sign muon impact parameter chi2 wrt primary vertex	-0.001996596956159577	0.008325098849575668	0.006408221655234378	0.03677935034991897
Kaon magnitude of momentum transverse to beam	0.01684140066951835	0.08427334218576726	0.05703887073173807	0.03427217752606104
Kaon 4-momentum z component	0.14668198883767883	0.10699361168603476	0.07214520822841249	0.02980047458921309
dimuon-system flight distance wrt primary vertex	-0.026776586404481963	-0.008429337846622123	-0.004745015118363831	0.02722418033054197
B magnitude of momentum transverse to beam	-0.07300892756272666	-0.024035682679294217	-0.015263188303044878	0.027140421657912306
Kaon PID NN score for pion hypothesis	0.08519163077909798	0.031046218163579845	0.020239026331316436	0.025722049717682438
Isolation: Charged cone eta difference between cone momentum and B	0.10234651917253813	0.04973596861915018	0.032902934241776524	0.024347192830916242
Kaon 4-momentum energy component	0.14655171143421863	0.10737477459961324	0.07240308899727092	0.023545439181954286
Kaon magnitude of momentum	0.1465488821411925	0.10737477459961324	0.07240308899727092	0.02353145065509743
Isolation: Charged cone ratio of B momentum and B+cone momentum all in transverse plane	0.01492020171628266	0.043728400189572594	0.029684825710326095	0.019831241028741786
Kaon PID NN score for proton hypothesis	0.007144496673740294	-0.032439568693563514	-0.021681690770880137	0.019253991464467823
dimuon-system decay vertex fit chi2	0.09175720303881811	0.01447932787340141	0.009397181033708764	0.018895634300440278
Opposite-sign muon PID NN score for muon hypothesis	-0.04512328845004305	-0.0009765185318061991	-0.0005316132357494307	0.018635747646050582
Isolation: Neutral cone 4-momentum of max-PT object x component	0.006444194588557947	0.008043297739292759	0.005518529413840879	0.018601820276682446
Isolation: Neutral cone momentum sum z component	-0.02193113098329383	-0.041756084846051915	-0.028345760970757028	0.017579126776519516
Isolation: Charged cone momentum sum x component	0.005018781312193752	0.01723411001560264	0.011537083824441246	0.017571362593770345
Isolation: Neutral cone 4-momentum of max-PT object transverse component	-0.03221836312863794	-0.04678733220884107	-0.03169585917112363	0.016818282332945245
Isolation: Charged cone momentum sum z component	0.003159617990432106	-0.015843209589890904	-0.011178718693124534	0.01662474147715276
Isolation: Neutral cone 4-momentum of max-PT object z component	0.004745752941278525	-0.020585461122785143	-0.01384800404454099	0.015826913206426596
dimuon-system flight distance wrt B-decay vertex	0.023574352401626468	0.025937379116307537	0.01747278937567242	0.01560210717878796
Kaon PID NN score for ghost-track hypothesis	0.01177808949583308	-0.01062247795660719	-0.007084629313086877	0.014639811977869677
Isolation: B vertex number of well fitting additional tracks	-0.06653402459729492	-0.12576558833651832	-0.10134793589774437	0.01378571011218055
Isolation: Charged cone scalar sum of PT	-0.011963059250701662	-0.047792405471508106	-0.03205400310394843	0.013732572066841975
B 4-momentum y component	-0.005432486343985211	0.002465196444999557	0.0013542760641161976	0.013534511165162577
dimuon-system magnitude of momentum transverse to beam	-0.054872620954907525	-0.024519209790148346	-0.01608331042187264	0.013378802369559573
Same-sign muon magnitude of momentum transverse to beam	-0.024239169158758095	0.00297437790585978	0.00201966222877898	0.013251253975345989
Opposite-sign muon 4-momentum x component	6.401414542756016e-05	0.008573111476097293	0.0055827833586699765	0.013069258644251569
Number of reconstructed tracks in event	0.04066114867318024	0.01895786866450005	0.012739800023638883	0.01297025671343377
Isolation: ML output of best fitting extra track	0.041906081417010035	-0.0012400825124606032	-0.0009462073998869883	0.012762121114680447
Isolation: Neutral cone asymmetry between cone momentum and B momentum transverse component	0.06138578770451615	0.054600729162763345	0.03720552609975003	0.012735632320509005
dimuon-system 4-momentum y component	-0.004247373883162827	0.0011430998876230396	0.0006892293088993383	0.012728180817241252
Isolation: Charged cone 4-momentum of max-PT object x component	0.0012183797950481431	0.01264317239076469	0.00849649768346657	0.01236948937648652
