	Pearson	Spearman	Kendall	Mutual_Info
B invariant mass	0.17797799241047235	0.1496961126651701	0.12946438469744573	0.4183808844236676
Kaon impact parameter chi2 wrt primary vertex	-0.0064934318231435985	-0.04755755153428371	-0.03275422623151959	0.11217397683066554
dimuon-system flight distance wrt B-decay vertex	-0.13237861351000574	-0.21350210162015773	-0.1449811259563751	0.10300724043782328
B decay vertex fit chi2	-0.01772426236468127	-0.01153376930058334	-0.007434986175212879	0.10239561042940437
dimuon-system impact parameter chi2 wrt primary vertex	-0.04997319865098089	-0.18133892498588583	-0.11998101889544212	0.09621974098192698
dimuon-system lifetime	-0.1749314128688201	0.02310297741531697	0.017878573757306043	0.0825775795781789
dimuon-system impact parameter wrt primary vertex	-0.17252868587877876	-0.20808761082210103	-0.13916334364990895	0.08093733954465065
dimuon-system flight distance chi2 wrt primary vertex	0.024674884277003054	0.060953793291755216	0.040566410433624994	0.07780187409413042
B cos(angle) between line-of-flight and momentum	-0.007042104685680906	-0.003194865608264948	-0.00235905668415725	0.07452970335746212
B decay vertex x position	0.010665909108555582	0.03018965668316589	0.01864912264101603	0.06486528677945724
dimuon-system decay vertex x position	0.005909995105963467	0.02936665000556205	0.018475614821093212	0.06446892548029215
Kaon magnitude of momentum transverse to beam	-0.1497137878525666	-0.15608681203632072	-0.10388132241308336	0.06390482580268575
B decay vertex y position	0.004568240661722416	0.010674116122276929	0.006936034425582666	0.062127425877747555
Kaon impact parameter wrt primary vertex	0.0008995580196157472	0.009276901023687424	0.005332955055380997	0.06176950626867761
B flight distance chi2 wrt primary vertex	0.004213433973336068	-0.011422616953357008	-0.0068615884231668705	0.06143053287481948
dimuon-system decay vertex y position	0.011786448219248912	0.00824514401562025	0.005376529009770976	0.05776898010193854
Isolation: B mass if one extra track (best fit) is added	0.02241028974166234	0.033769423724007874	0.022902739286373576	0.0561948121840139
Same-sign muon impact parameter chi2 wrt primary vertex	0.011752835989408968	0.036409469077808454	0.024211089340705687	0.05505527554513279
dimuon-system cos(angle) between line-of-flight from primary vertex and momentum	0.07380685187903105	0.21414884516733163	0.1459935489927134	0.04938343152411262
dimuon-system flight distance chi2 wrt B-decay vertex	-0.29240788678107366	-0.16324803763664192	-0.11003401971320383	0.048820970050974744
B lifetime	0.0075732619271370125	-0.004578496312238234	-0.0024752283396594532	0.04656514837966874
B magnitude of momentum transverse to beam	-0.007864640425724627	-0.008584504532720664	-0.005203722141479943	0.04587692239088881
Opposite-sign muon impact parameter chi2 wrt primary vertex	0.02009643923232636	0.052586571555387304	0.034580790182296456	0.045296925602380966
Isolation: B vertex delta chi2 adding two extra tracks (best fits)	-0.010680107778677088	-0.003919317491541799	-0.002369538563031907	0.04375297173840309
Isolation: Neutral cone eta difference between cone momentum and B	-0.01663187770709608	-0.011838437681698443	-0.008301753163947908	0.04280346818538838
Isolation: B vertex delta chi2 adding one extra track (best fit)	-0.0034317665295111816	-0.006885857205897265	-0.004049644152986081	0.042408939464324114
Same-sign muon magnitude of momentum transverse to beam	0.09142957745595734	0.10310676312958453	0.06915803931766869	0.04216363803803613
dimuon-system flight distance wrt primary vertex	-0.03291076059779167	-0.024988394658432764	-0.0167181775019314	0.04149390390181651
Opposite-sign muon magnitude of momentum transverse to beam	0.07910190558825364	0.0905073635665769	0.060427743924105694	0.040235305315699854
dimuon-system cos(angle) between line-of-flight from B-decay vertex and momentum	-0.0807607522926549	0.015097125080465866	0.011876211540304486	0.03842226612097255
dimuon-system 4-momentum energy component	0.1267214774421936	0.12320529033861985	0.08286789496458499	0.037956398623363086
dimuon-system magnitude of momentum	0.12624030936369188	0.1224980308514751	0.08238480649148758	0.037119843811733944
Same-sign muon impact parameter wrt primary vertex	-0.008548657454337784	-0.021298101497153422	-0.013514656060589813	0.03707183451355878
dimuon-system 4-momentum z component	0.12642596791447236	0.1225622025999618	0.08243591574158432	0.03656632100139845
Kaon 4-momentum x component	0.01666590297634374	0.018912586109856376	0.012175969894719814	0.03520184343051991
Kaon 4-momentum energy component	-0.25679593010841095	-0.18171455116713525	-0.1226380842790024	0.035060946259914516
Kaon magnitude of momentum	-0.25680136655094365	-0.18171455116713525	-0.1226380842790024	0.035005870666599215
Kaon PID NN score for kaon hypothesis	0.03748969737446103	0.03187006440385578	0.021960983345460247	0.034930808279165504
Opposite-sign muon impact parameter wrt primary vertex	0.003824978832159413	-0.004863080065141424	-0.00299238028536178	0.034553921288162925
Kaon 4-momentum y component	0.0026797720342662205	0.0033860189629471016	0.002416264211824092	0.03422204617457236
B flight distance wrt primary vertex	-0.017473588990484193	-0.028978034212736103	-0.01938898549080514	0.032083794581202696
Kaon 4-momentum z component	-0.2566124578022566	-0.181165118307391	-0.1222521541162774	0.031858145334847876
B impact parameter wrt primary vertex	-0.06845879899306821	-0.041143417669507375	-0.027523341416845853	0.030274260397558983
